,1CreatorLtd,kevinhall1963,EUVoteLeave23rd,McFc_Winners,PeterGrant19,kimholdersmith,TimminsVicky,ChrisWynThom,Pompey4Britain,HACKEDOFF_VOTER,DamainWard,Charlie411114,English_Woman,ElContador2000,CymroAlba,xargle,NONONOEU,The_UK_NeedsYou,Seth66Owens,SuperbikeAl,donphill,munro11munro,BaronGraham,Teenie6619Tina,conndec,nanb58,dvalentino007,davidbent1948,cristine_foster,willdefens,pbarrett45,Binnsy_46,TisMcbeth,DawnFamily4,ShortfuseLiz,rock2shark,tt_saw,LiverpoolDL,Kilsally,lsrlinda,RogTallbloke,mickjones61,jamesckearns,BeverleyDunlop,HarridgePike,VoteLeaveEU,martinstevens27,UKMCEOfficial,Derek5Coms,julia_reid
1CreatorLtd,1.0,0.4251720531648763,0.5916626356956735,0.5812988193837121,0.4987676055772915,0.3400043532572878,0.3463798051013666,0.4096438946806662,0.3598910643299597,0.4972537759561778,0.5444990535888417,0.5606562662315541,0.17470266019866468,0.5118340412694923,0.45157548242365414,0.20911092910584334,0.5799750318367435,0.5176795723674168,0.35115204305285136,0.3891971692881289,0.37620933169584964,0.5553151026724902,0.4845508455758235,0.4299404724257214,0.21653749743055611,0.5312748857959038,0.18112752532346457,0.5529546996031978,0.31417937653507605,0.48621573811352226,0.49096557776813227,0.45221454051530285,0.5500489557111292,0.2767827948037976,0.4417112554713101,0.40733623740759967,0.5703137199004352,0.42679459414182963,0.22786885110129196,0.461657680816653,0.39271894874749086,0.3704835112079749,0.3508913467441657,0.33975553054536767,0.5079714742268925,0.5176579033948822,0.26673301013258083,0.4808381971728452,0.3533111751143678,0.4271560506081867
kevinhall1963,0.4251720531648763,1.0,0.43022299298416045,0.5383632817981522,0.31521960698109447,0.43823979910732147,0.5869978979362143,0.2252811988686631,0.3115688593715345,0.3289145317179597,0.3908824289315791,0.32878255550432695,0.24966432886841697,0.31937297523202396,0.6220509953673954,0.2528824987786705,0.4399779836676626,0.5870676858383426,0.35618083345593415,0.4698784250343635,0.275273013557767,0.4621237094208653,0.20579629376624373,0.3494117472578993,0.2645139655572196,0.43859509622699294,0.2562703086621116,0.34957705294329205,0.4284877350604827,0.027810376008333155,0.38081703196210676,0.5928511704326321,0.11199825663652296,0.33867462017764094,0.3056697921261978,0.5069007349853559,0.25501955779257585,0.3669126939278476,0.3169589742125954,0.35831990584178164,0.2751574295098304,0.2942187825379509,0.385144740587594,0.6465563786222474,0.5013662653477863,0.34613312586653294,0.3767137771063971,0.22458079851243162,0.5662179185635552,0.1331153492320177
EUVoteLeave23rd,0.5916626356956735,0.43022299298416045,1.0,0.4845517281387251,0.6256267836814494,0.26116585557299404,0.35160946661132075,0.4689861067396266,0.5686774554413192,0.5431000984435492,0.29948927030179234,0.6098255536672703,0.3042810244563088,0.4575137978996094,0.5946792604587349,0.38405835843495884,0.4839437411887837,0.6254675864604076,0.5874638031775635,0.44193768840038455,0.3519568698447023,0.6711345521891574,0.4979167662846375,0.4565381504439887,0.4391743967858997,0.5597762956312293,0.32421221055397187,0.5707340010296812,0.4894244078338346,0.2598544108547593,0.4551271101528396,0.6051262132354494,0.5562419198702402,0.36807640134203506,0.5715918364408346,0.4720748472575963,0.6403188476139215,0.5711205334403718,0.5299930079988459,0.47229795559516874,0.31513379396010527,0.46602844638050805,0.3734125995167284,0.30022697736242593,0.516206898576005,0.5935892031558425,0.36136384288285345,0.3954493918193386,0.4623409853258666,0.45830377684430296
McFc_Winners,0.5812988193837121,0.5383632817981522,0.4845517281387251,1.0,0.3526049999275348,0.3164348693470582,0.6234236578922662,0.4428388436010029,0.29968984098565227,0.4590672703866848,0.644525906669068,0.4438910480026255,0.17888750610254753,0.49168471363568034,0.5047235045987606,0.18806932861201944,0.3777453605877848,0.6365212890196345,0.33128386753908906,0.4840580329738129,0.38637159219133627,0.48201874420271007,0.44350915198032975,0.499537619803053,0.3094624927975918,0.4581869862306909,0.1583288383941627,0.5469906530417703,0.3669965480119984,0.3858826619570804,0.42246779880326074,0.5352842837278362,0.385278650667783,0.3013119926564221,0.33722676593022316,0.5104407497987964,0.31008109175793297,0.24353329929333342,0.17366788756882526,0.3833647090814844,0.17115364159695043,0.15298960026471103,0.40160002643442455,0.4619843086527345,0.32652123053701426,0.3508633838845237,0.12115302637685658,0.4004111084368305,0.3669916499265581,0.2502296252088565
PeterGrant19,0.4987676055772915,0.31521960698109447,0.6256267836814494,0.3526049999275348,1.0,0.30960490191562884,0.23944704106566153,0.4929952866065363,0.5014853056108894,0.49894597629782955,0.27803728382571385,0.6920136334523346,0.2531654274918462,0.3708656729527632,0.4347533643099773,0.4630947922517778,0.23385676992859197,0.49725962373185956,0.47254991638252297,0.4900983626741046,0.4295408523948618,0.5514876607640875,0.3255160974830671,0.38748493433227077,0.3005165965585418,0.525183503492878,0.5742444197836517,0.34676921288077456,0.3081910817429433,0.25133864913510223,0.2974843188213105,0.495653288228048,0.3696107788989846,0.26646990417728095,0.4614113738217692,0.34651794194159613,0.7545088706682285,0.4951873373614162,0.4318480214508633,0.31190678879787437,0.3740467792492858,0.1496895299606797,0.3507005674006507,0.32929470612172057,0.24223523002350267,0.4625617123891174,0.4418305828145274,0.3072221482727965,0.5537488934081047,0.17610652694817555
kimholdersmith,0.3400043532572878,0.43823979910732147,0.26116585557299404,0.3164348693470582,0.30960490191562884,1.0,0.3954475819050118,0.4129052727165834,0.11385409631766398,0.2616553425753515,0.33083132553882844,0.23009603828253203,0.2933734635309826,0.25697387800473787,0.4528477101396779,0.06419891020241494,0.2292044896726451,0.3135711626676009,0.08080781001195007,0.09754893111011803,0.19911391601851355,0.24423952826810832,0.3287553944084182,0.2990201350508004,0.12251337613535801,0.15171344173586654,0.3767710933395399,0.3854039121131939,0.38066053076574696,0.1633335937243105,0.5254775085284885,0.40506230169126456,0.25378365829209565,0.25068451128135827,0.2019360068745449,0.18857601891944403,0.25234084616676555,0.3870876081996495,0.2927721285242964,0.31517697110601234,0.5006208844567633,-0.048289452921184285,0.39773133703038493,0.4365452831157633,0.4048899124087674,0.2342447983129712,0.31533595612245585,0.12532356491884938,0.33342101489932546,0.11573888365727615
TimminsVicky,0.3463798051013666,0.5869978979362143,0.35160946661132075,0.6234236578922662,0.23944704106566153,0.3954475819050118,1.0,0.1578394199921026,0.1926932686725279,0.28555639447737646,0.45018085178574263,0.30046384917844693,0.12309204864030511,0.5487716465441397,0.5226199134445347,-0.018026478488658893,0.4114769752593515,0.481908313226621,0.30397000816851133,0.2933324350976538,0.2569559120334484,0.30078254106452285,0.3462346317992223,0.3023579955868823,0.2910106273571438,0.20617591929847998,0.2561963497134009,0.3347798176162371,0.4667272212464683,0.1276341914574962,0.24550789817456786,0.5154923086738638,0.3844253145399047,0.12795708143640844,0.34692890657866077,0.41169576080202536,0.20391148050762795,0.21578049464276594,0.24045519216902375,0.20499532526743763,0.3750617369222596,0.08700667572916171,0.4944285786522583,0.7124725773693041,0.28969381142062234,0.30189025115130846,0.2809186061851867,0.1564080322678829,0.3227897789990209,0.10695086792206845
ChrisWynThom,0.4096438946806662,0.2252811988686631,0.4689861067396266,0.4428388436010029,0.4929952866065363,0.4129052727165834,0.1578394199921026,1.0,0.29457495223012564,0.41599340423771725,0.37320875235701956,0.29520961469216145,0.33414951013009186,0.2758306409652208,0.29406257911952455,0.22209315103027122,0.21615009949928526,0.4868853617699943,0.4090684547817121,0.3851900525336148,0.5679233948935218,0.4232909312377763,0.381825736051833,0.6619458702475662,0.3511575877288132,0.27316939709961535,0.21504719587747173,0.36756147641932185,0.21696423661555223,0.17915593178209205,0.2640122732944096,0.41880782121099147,0.5308008322651213,0.3632135828831785,0.2757521841902089,0.5152412075540852,0.6367949927969652,0.336350993531274,0.31839088270979315,0.29358091021324,0.23750902239040236,0.25297652540238547,0.08713199143425364,0.3055362814116151,0.3219641744353458,0.17654867340043032,0.2917418336646422,0.1821632803809572,0.3118425234678115,0.3795029654424811
Pompey4Britain,0.3598910643299597,0.3115688593715345,0.5686774554413192,0.29968984098565227,0.5014853056108894,0.11385409631766398,0.1926932686725279,0.29457495223012564,1.0,0.4595986958823702,0.20286984660779983,0.6149607963650457,0.1926972249989767,0.2794410050931441,0.2502503888703339,0.31241832628246646,0.43006796837486266,0.5092783937878246,0.23771339071884923,0.47330559475369766,0.45527307358872976,0.5088362025763314,0.33377344779722007,0.43834727979381766,0.5779561310387775,0.6031437166292799,0.2961640768180879,0.4838825446777658,0.2036129389213177,0.08231488187608754,0.26544929357195873,0.4514544053473321,0.32808770967160017,0.5609069241640484,0.2059012967822406,0.3961356376721579,0.5497534893824655,0.33340818097716735,0.5535146109948234,0.13061560199058406,0.3114832339333792,0.1895447230183249,0.2912304408683948,0.34927751348163516,0.29160545265631244,0.47048686104580456,0.39595849775312164,0.23824967588736617,0.24873921458921125,0.2720302561346969
HACKEDOFF_VOTER,0.4972537759561778,0.3289145317179597,0.5431000984435492,0.4590672703866848,0.49894597629782955,0.2616553425753515,0.28555639447737646,0.41599340423771725,0.4595986958823702,1.0,0.30703824395841683,0.6421658988778386,0.37103730659391493,0.3737730203799782,0.4115573699201282,0.4719559552255683,0.6052314760328562,0.4826854314049596,0.39409624062737986,0.44905956843001316,0.43712372342656447,0.5564109466623596,0.37686844246950546,0.3929707481793921,0.35350641874380634,0.5322826105395463,0.2965127595475481,0.43552061462840896,0.2941980215028567,0.4597956908790646,0.39238580146391017,0.5429987025290087,0.4762974720828944,0.4049934359099041,0.30249689452003753,0.5218918048003205,0.6122875206907369,0.42739260200425766,0.5321604715193541,0.3458884939441885,0.28611035414971936,0.35857902815372966,0.3682038126275181,0.32668640434672097,0.38234286734467315,0.48531512644085856,0.09695450776944915,0.4910467202757108,0.35905632464904375,0.3157137743909888
