,accounts,isBot
ron__west,0.9884435316999725,0
Mickjanxxx,0.9884435316999725,0
m52spy,0.9854067827850396,0
paulcsansom,0.9854067827850396,0
tachyonics,0.9854058829643252,0
paulcsansom,0.9854058829643252,0
tachyonics,0.9847474447083641,0
MichDonohue,0.9847474447083641,0
Stewart4Pboro,0.984042386963266,0
paulcsansom,0.984042386963266,0
SDVConqueror,0.9835352778828916,0
paulcsansom,0.9835352778828916,0
Tonykelly950,0.9832701976249824,0
kona92,0.9832701976249824,0
etered,0.9820674914304472,0
Stewart4Pboro,0.9820674914304472,0
etered,0.9820420751132328,0
paulcsansom,0.9820420751132328,0
etered,0.9800872492444488,0
rblmike,0.9800872492444488,0
MrRBourne,0.9800108405153624,0
paulcsansom,0.9800108405153624,0
etered,0.9797193841997388,0
RayUkip,0.9797193841997388,0
tachyonics,0.9793709716070368,0
m52spy,0.9793709716070368,0
m52spy,0.9787214159776568,0
MrRBourne,0.9787214159776568,0
SDVConqueror,0.9785417933446756,0
m52spy,0.9785417933446756,0
etered,0.9783492025579148,0
Tonykelly950,0.9783492025579148,0
Donna_Mai_,0.9780816144157414,0
MichDonohue,0.9780816144157414,0
MichDonohue,0.9777805922159228,0
paulcsansom,0.9777805922159228,0
tachyonics,0.9774846890780808,0
Stewart4Pboro,0.9774846890780808,0
paulcsansom,0.9774669949932459,0
rblmike,0.9774669949932459,0
Stewart4Pboro,0.9774374912548096,0
mickjones61,0.9774374912548096,0
KrisLeates,0.9773900102979616,0
paulcsansom,0.9773900102979616,0
kona92,0.9768331546763792,0
KrisLeates,0.9768331546763792,0
KrisLeates,0.9767964342331136,0
Tonykelly950,0.9767964342331136,0
m52spy,0.9767617450323736,0
mickjones61,0.9767617450323736,0
KrisLeates,0.9762904235660116,0
angiebUK,0.9762904235660116,0
m52spy,0.976189849369554,0
Stewart4Pboro,0.976189849369554,0
Stewart4Pboro,0.9760772338271496,0
MichDonohue,0.9760772338271496,0
Tonykelly950,0.9759961940935472,0
paulcsansom,0.9759961940935472,0
SDVConqueror,0.9756912259676958,0
OgzKcklr,0.9756912259676958,0
m52spy,0.975660244737357,0
angiebUK,0.975660244737357,0
Stewart4Pboro,0.97511092448806,0
MrRBourne,0.97511092448806,0
MichDonohue,0.9750922675547368,0
m52spy,0.9750922675547368,0
m52spy,0.9749859777254952,0
LeCygne23,0.9749859777254952,0
etered,0.9745704138645044,0
BrexitUK,0.9745704138645044,0
KrisLeates,0.9744354954308112,0
m52spy,0.9744354954308112,0
angiebUK,0.9743173552613704,0
Tonykelly950,0.9743173552613704,0
m52spy,0.9742113570717936,0
Tonykelly950,0.9742113570717936,0
m52spy,0.9741197298158196,0
etered,0.9741197298158196,0
MrRBourne,0.9740181095759576,0
RayUkip,0.9740181095759576,0
etered,0.9739688677613684,0
tachyonics,0.9739688677613684,0
SDVConqueror,0.9739473096276984,0
etered,0.9739473096276984,0
BrexitUK,0.9738916039314096,0
rblmike,0.9738916039314096,0
RayUkip,0.9738709877371072,0
amysteron,0.9738709877371072,0
kona92,0.9738314198519,0
m52spy,0.9738314198519,0
OgzKcklr,0.973761593433916,0
paulcsansom,0.973761593433916,0
MrRBourne,0.9736579632339076,0
BrexitUK,0.9736579632339076,0
mickjones61,0.9735142874594336,0
MrRBourne,0.9735142874594336,0
SDVConqueror,0.9734812792228462,0
Tonykelly950,0.9734812792228462,0
paulcsansom,0.9732896663623636,0
RayUkip,0.9732896663623636,0
MrRBourne,0.97317047254973,0
angiebUK,0.97317047254973,0
Stewart4Pboro,0.9730148133082396,0
rblmike,0.9730148133082396,0
tachyonics,0.9719530725715596,0
SDVConqueror,0.9719530725715596,0
paulcsansom,0.9717118897468536,0
kona92,0.9717118897468536,0
BrexitUK,0.9716868621638404,0
Stewart4Pboro,0.9716868621638404,0
etered,0.9716786153222154,0
MrRBourne,0.9716786153222154,0
sglossop,0.9716029838185553,0
rblmike,0.9716029838185553,0
paulcsansom,0.9715558983450844,0
LeCygne23,0.9715558983450844,0
Stewart4Pboro,0.97118467652425,0
Donna_Mai_,0.97118467652425,0
Stewart4Pboro,0.9708569900405176,0
RayUkip,0.9708569900405176,0
m52spy,0.9708411816185224,0
sglossop,0.9708411816185224,0
Tonykelly950,0.9708351067791084,0
MrRBourne,0.9708351067791084,0
paulcsansom,0.9705857996148912,0
mickjones61,0.9705857996148912,0
rblmike,0.9705746614749604,0
m52spy,0.9705746614749604,0
KrisLeates,0.9704570234714436,0
MrRBourne,0.9704570234714436,0
tachyonics,0.9704064282963688,0
Donna_Mai_,0.9704064282963688,0
SDVConqueror,0.9702885472234914,0
Stewart4Pboro,0.9702885472234914,0
kona92,0.9701985244473048,0
amysteron,0.9701985244473048,0
rblmike,0.9698327203355724,0
tachyonics,0.9698327203355724,0
paulcsansom,0.9696839734364264,0
BrexitUK,0.9696839734364264,0
Donna_Mai_,0.9694875384583388,0
paulcsansom,0.9694875384583388,0
MichDonohue,0.9693458662047704,0
rblmike,0.9693458662047704,0
mickjones61,0.969208082282758,0
RayUkip,0.969208082282758,0
m52spy,0.9690251565061336,0
Donna_Mai_,0.9690251565061336,0
BrexitUK,0.96855234561277,0
RayUkip,0.96855234561277,0
KrisLeates,0.9682112406715754,0
tachyonics,0.9682112406715754,0
SDVConqueror,0.9681913390725788,0
KrisLeates,0.9681913390725788,0
sglossop,0.9681228225658643,0
LeCygne23,0.9681228225658643,0
MrRBourne,0.9675649211844564,0
rblmike,0.9675649211844564,0
Tonykelly950,0.9673752358967754,0
amysteron,0.9673752358967754,0
sglossop,0.9671103014119004,0
SDVConqueror,0.9671103014119004,0
angiebUK,0.9670911197988424,0
paulcsansom,0.9670911197988424,0
sglossop,0.9666286696346048,0
paulcsansom,0.9666286696346048,0
kona92,0.9665072420905904,0
MrRBourne,0.9665072420905904,0
LeCygne23,0.9664109569178992,0
Tonykelly950,0.9664109569178992,0
kona92,0.9660040785446522,0
SDVConqueror,0.9660040785446522,0
Tonykelly950,0.9658716730635968,0
rblmike,0.9658716730635968,0
mickjones61,0.9658019075234964,0
Tonykelly950,0.9658019075234964,0
SDVConqueror,0.965783938599704,0
MichDonohue,0.965783938599704,0
SDVConqueror,0.9657341511904376,0
MrRBourne,0.9657341511904376,0
m52spy,0.9656597999935798,0
RayUkip,0.9656597999935798,0
OgzKcklr,0.9656442197902014,0
m52spy,0.9656442197902014,0
KrisLeates,0.9655634244036576,0
MichDonohue,0.9655634244036576,0
rblmike,0.9654404937261208,0
RayUkip,0.9654404937261208,0
sglossop,0.9654279491100181,0
Stewart4Pboro,0.9654279491100181,0
Donna_Mai_,0.9654116101695466,0
mickjones61,0.9654116101695466,0
LeCygne23,0.9653476122510749,0
