day_number,start_epoch,end_epoch,no_of_tweets
0,1458864000,1458950400,952
1,1458950400,1459036800,2426
2,1459036800,1459123200,2398
3,1459123200,1459209600,2432
4,1459209600,1459296000,2928
5,1459296000,1459382400,2590
6,1459382400,1459468800,2635
7,1459468800,1459555200,2417
8,1459555200,1459641600,2071
9,1459641600,1459728000,2015
10,1459728000,1459814400,2586
11,1459814400,1459900800,2752
12,1459900800,1459987200,3058
13,1459987200,1460073600,3360
14,1460073600,1460160000,2776
15,1460160000,1460246400,2447
16,1460246400,1460332800,2501
17,1460332800,1460419200,3054
18,1460419200,1460505600,3440
19,1460505600,1460592000,3210
20,1460592000,1460678400,3379
21,1460678400,1460764800,3618
22,1460764800,1460851200,3102
23,1460851200,1460937600,2952
24,1460937600,1461024000,4096
25,1461024000,1461110400,3779
26,1461110400,1461196800,3712
27,1461196800,1461283200,3518
28,1461283200,1461369600,5443
29,1461369600,1461456000,3995
30,1461456000,1461542400,3716
31,1461542400,1461628800,3860
32,1461628800,1461715200,3806
33,1461715200,1461801600,3829
34,1461801600,1461888000,4083
35,1461888000,1461974400,3844
36,1461974400,1462060800,2953
37,1462060800,1462147200,3243
38,1462147200,1462233600,3577
39,1462233600,1462320000,3913
40,1462320000,1462406400,4209
41,1462406400,1462492800,4940
42,1462492800,1462579200,6065
43,1462579200,1462665600,5456
44,1462665600,1462752000,4396
45,1462752000,1462838400,5790
46,1462838400,1462924800,5572
47,1462924800,1463011200,5666
48,1463011200,1463097600,5364
49,1463097600,1463184000,5155
50,1463184000,1463270400,5198
51,1463270400,1463356800,5332
52,1463356800,1463443200,5184
53,1463443200,1463529600,5664
54,1463529600,1463616000,5007
55,1463616000,1463702400,4957
56,1463702400,1463788800,4730
57,1463788800,1463875200,4704
58,1463875200,1463961600,4768
59,1463961600,1464048000,5781
60,1464048000,1464134400,5873
61,1464566400,1464652800,2
62,1464652800,1464739200,6686
63,1464739200,1464825600,6904
64,1464825600,1464912000,7788
65,1464912000,1464998400,7858
66,1464998400,1465084800,6447
67,1465084800,1465171200,7157
68,1465171200,1465257600,8091
69,1465257600,1465344000,10417
70,1465344000,1465430400,2423
71,1465516800,1465603200,3
72,1465603200,1465689600,6047
73,1465689600,1465776000,8706
74,1465776000,1465862400,9092
75,1465862400,1465948800,11734
76,1465948800,1466035200,15030
77,1466035200,1466121600,9179
78,1466380800,1466467200,9
79,1466467200,1466553600,11649
80,1466553600,1466640000,17183
81,1466640000,1466726400,26870
